County,Region,Province,Province_number,DataCount,County_number,Region_NW1SW2NE3,Water_source_well0_canal1,network_traditional0_modern1,latitude,longitude,Ecwat,crop_area_ha,soil_texture_heavy0normallight1,cultivar_704_1_other_2,growth_days,irrig_surf0pressure1,irrig_count,yield_tonha,Climate_cold0_warm1,ETo_mm,elevation_m,education_1preHS_2HS_3above HS,irrig_wat_m3ha
Karaj,NW,Alborz,1,4,1,1,0,0,35.802776,50.947926,0.4,10,0.8,1,97.3,1,8.8,49.5,0,580,1372.9,3,8754.5
Hashtgerd,NW,Alborz,1,2,2,1,0.5,1,35.951485,50.668327,0.3,4,1,1,97,0.5,14.5,55,0,554.5,1612.9,3,6867.5
EslamShahr,NW,Tehran,2,9,3,1,0.4,0.7,35.551202,51.230455,0.8,8.3,0.3,1,96.2,0.4,9,51.9,0,639.2,1162.9,2.8,6825.6
Pakdasht,NW,Tehran,2,7,4,1,0.1,0.6,35.415008,51.731349,0.8,7.9,0,1,100.7,0.6,8,55,0,651.8,987.3,2.3,5922.9
Shahrerey,NW,Tehran,2,3,5,1,0,0,35.577045,51.462464,1.7,3.5,0,1.3,84.5,1,6,56.9,0,592.9,1012.3,2.3,6134
Abyek,NW,Gazvin,3,5,6,1,0,0.2,36.040428,50.544616,2.7,17.2,0.4,1.2,102.4,0.8,8.8,50.4,0,581.8,1279.1,2,8692.6
BoyeenZahra,NW,Gazvin,3,5,7,1,0,0.4,35.76543,50.052859,3.1,19.2,0,1.6,109.6,0.6,9.4,47.8,0,763.3,1282,2.8,7308.8
Moghan,NW,Ardabil,4,6,8,1,1,1,39.511879,47.945006,1.1,7.7,0,1,83.8,1,4.7,32.8,0,421.7,96.6,1.3,5868.3
Shahinshar,SW,Esfahan,5,9,9,2,0,0.4,32.860873,51.553297,2.4,14.5,0.6,1,103.3,0.6,18,58.2,0,732.5,1715.3,1.8,8000.8
Sepidan,SW,Fars,6,6,10,2,0,0.3,30.256021,51.975202,2.3,1.9,0.5,1.2,94.8,0.7,16,59.8,0,587.8,1600,1.7,9088.5
Marvdasht,SW,Fars,6,6,11,2,0,0.5,29.878758,52.806687,0.8,8.3,0.2,1,97,0.5,10.7,66.4,0,636.2,1583.3,2,8426.5
Chanaran,NE,KhorasanR,7,6,12,3,0,1,36.638051,59.118368,1.4,22.5,1,1.5,93.8,0.2,24,98.8,0,826.1,982.9,2,10428.3
TorbatJam,NE,KhorasanR,7,6,13,3,0,0.3,35.243113,60.624762,1.4,8.3,0.7,1.5,83.2,0.8,12.7,75.2,0,739.8,966.7,1.7,11123.3
Jovain,NE,KhorasanR,7,6,14,3,0,0.7,36.710202,57.415208,0.8,7.8,1,1.7,100.3,0.3,13.2,54.2,0,782,1097.5,2.2,7534.5
Behbahan,SW,Khozestan,8,13,15,2,0.5,0.8,30.598151,50.238091,2.5,13.6,0.8,2,102.2,0.3,25.7,53.5,1,544.4,338.3,1.9,7738.3
Dezful,SW,Khozestan,8,11,16,2,0.9,0.8,32.383975,48.399618,0.8,5.1,0.4,1.6,99,1,10.6,40.5,1,510.2,82.9,1.3,7087.8
