Province,ProvinceCode,County,CountyCode,Warm0Cold1,Dry0Semi05Wet1,Literatcy1HS2above,LongitudeDegree,LatitudeDegree,source1well2surface,network1traditional2modern,ECwatirrig_dsm,croparea_ha,SoilTexture1Light2Normal3Heavy,SoilSalinitydSm,variety1chaI2chamII3Pish4SirMih5Oth,plant_date,harvest_date,GrowthLength150200_123,Irrig1surf2sprinkl3drip,irrig_depth_avg,number_of_irrig,water_vol_m3ha,effective_rain_fao_currentyear_mm,effective_rain_10year_fao075p_mm,WatNeedNationalBook_mm,WaterNeedBookmm,Et_clim_data_this_year_mm,ET_clim_10year_mm,leeching_need_percent,yield_kgha,water_efficiency_kgm3,efficiency_irrig_effectiveraincurrentyear_kgm3,efficiency_irrig_effectiverain10year_kgm3
Khuzestan,2,Shush,7,0,0,1,48.2816,32.16823333,1,2,0.5,5.0,3,1.3,5,95/9/2,,1,1,92,4,3695,124,149,322,592,416,408,1,5600,1.5,1.1,1.1
Khuzestan,2,Shush,7,0,0,1,48.2867,32.14308333,1,2,0.5,6.0,3,0.95,2,95/10/23,,1,1,120,4,4807,93,112,322,592,479,446,1,3800,0.8,0.7,0.6
Khuzestan,2,Shush,7,0,0,1,48.21996667,32.33436667,1,2,0.5,2.4,3,0.85,5,95/10/15,,1,1,206,4,8259,74,122,322,592,486,456,1,4200,0.5,0.5,0.4
Khuzestan,2,Shush,7,0,0,1,48.2137,32.3262,1,2,0.5,3.8,2,0.65,5,95/9/28,,1,1,179,5,8948,93,143,322,592,429,416,1,5170,0.6,0.5,0.5
Khuzestan,2,Shush,7,0,0,1,48.13428333,32.36426667,2,1,1.8,21.5,2,3.64,5,95/8/26,,1,1,112,4,4499,124,161,322,592,383,382,5,6365,1.4,1.1,1.0
Khuzestan,2,Shush,7,0,0,1,48.10308333,32.37621667,1,2,1.1,22.5,2,3.2,5,95/10/5,,1,1,103,7,7216,124,149,322,592,416,408,3,6926,1.0,0.8,0.8
Khuzestan,2,Kharkheh,8,0,0,1,48.484092,31.972758,1,2,1.3,15.6,2,2.5,1,95/8/25,,1,1,236,4,9435,123,168,322,592,378,377,4,4516,0.5,0.4,0.4
Khuzestan,2,Shush,7,0,0,1,48.132,32.146,2,1,4.1,35.0,1,5.63,1,95/9/11,,1,1,73,10,7334,93,141,322,592,440,425,12,4100,0.6,0.5,0.5
Khuzestan,2,Shush,7,0,0,1,48.12025,32.2357,2,2,2.7,45.6,2,5.1,5,95/9/25,,1,3,24,21,5041,93,141,322,592,440,425,7,4841,1.0,0.8,0.8
Khuzestan,2,Shush,7,0,0,1,48.19161667,32.08576667,2,2,2.1,6.5,1,2.9,1,95/8/23,,1,2,32,12,3840,123,172,322,592,362,362,6,4000,1.0,0.8,0.7
Khuzestan,2,Kharkheh,8,0,0,1,48.315867,31.923047,2,2,2.4,19.8,2,3.3,2,95/8/20, 96/2/5,1,2,44,12,5221,123,172,322,592,362,362,7,2575,0.5,0.4,0.4
KhorasanRazavi,3,Jovain,9,1,0.5,1,57.300569,36.703864,2,2,0.6,24.0,2,1.65,3,95/9/8,,2,2,66/56,8,5325,113,129,635,618,,775,2,4000,0.8,0.6,0.6
KhorasanRazavi,3,Jovain,9,1,0.5,1,57.218211,36.726511,2,1,0.5,1.0,2,1.43,5,95/8/5,,3,1,89/34,7,6254,113,129,635,618,,775,1,3500,0.6,0.5,0.5
KhorasanRazavi,3,Jovain,9,1,0.5,2,57.34755,36.6896,2,2,0.5,25.0,2,1.62,3,95/8/2,,3,2,59/13,9,5322,113,129,635,618,,775,1,4200,0.8,0.7,0.6
KhorasanRazavi,3,Jovain,9,1,0.5,2,57.405664,36.646814,2,2,0.7,20.0,2,1.8,3,95/8/1,,3,2,61/37,9,5523,113,129,635,618,,775,2,3800,0.7,0.6,0.6
KhorasanRazavi,3,Jovain,9,1,0.5,1,57.502817,36.622264,2,1,1.0,2.6,3,1.8,3,95/8/15,,3,1,77/58,6,4655,113,129,635,618,,775,3,6000,1.3,1.0,1.0
KhorasanRazavi,3,Jovain,9,1,0.5,2,57.352575,36.679164,2,2,0.5,15.0,2,1.45,4,95/7/23,,3,2,62/88,8,5030,113,129,635,618,,775,1,4300,0.9,0.7,0.7
KhorasanRazavi,3,Neishabur,10,1,0,1,58.674,35.992,2,1,3.6,0.3,3,4.58,3,1395-8-10,1396-4-1,3,1,72,5,4320,207,169,569,612,702,623,11,5550,1.3,0.9,0.9
KhorasanRazavi,3,Neishabur,10,1,0,1,58.791,36.023,2,1,5.4,20.0,2,8.48,5,1395-8-01,1396-4-20,3,1,76,3,2600,207,169,569,612,728,644,17,3725,1.4,0.8,0.9
KhorasanRazavi,3,Neishabur,10,1,0,1,58.752,36.045,2,1,8.5,21.0,2,3.62,5,1395-8-20,1396-4-15,3,1,147,3,4450,207,169,569,612,704,628,30,2750,0.6,0.4,0.4
KhorasanRazavi,3,Neishabur,10,1,0,2,58.872,36.11,2,1,0.6,10.0,1,0.84,3,1395-8-8,1396-3-26,3,1,116,6,8050,207,169,569,612,675,600,2,5300,0.7,0.5,0.5
KhorasanRazavi,3,Neishabur,10,1,0,1,58.731,36.157,2,2,1.2,100.0,2,1.13,3,1395-7-15,1396-4-5,3,2,16,12,2130,207,169,569,612,716,635,3,4000,1.9,1.0,1.0
KhorasanRazavi,3,Neishabur,10,1,0,1,58.729,36.173,2,2,1.8,8.0,3,1.48,3,1395-8-15,1396-4-5,3,3,39,11,4450,207,169,569,612,674,603,4,7360,1.7,1.1,1.2
KhorasanRazavi,3,Neishabur,10,1,0,1,58.667,36.191,2,1,0.6,30.0,2,0.88,3,1395-8-15,1396-3-23,3,1,130,5,6820,207,169,569,612,643,576,2,5000,0.7,0.6,0.6
KhorasanRazavi,3,Neishabur,10,1,0,1,58.666,36.19,2,2,2.4,34.0,2,3.46,3,1395-7-20,1396-3-26,3,2,79,8,6320,207,169,569,612,701,622,6,6250,1.0,0.7,0.8
KhorasanRazavi,3,Zabarkhan,11,1,0,1,59.106,35.969,2,1,2.0,25.0,2,1.75,3,1395-8-07,1396-3-26,3,1,80,8,7200,207,169,569,612,677,601,6,7500,1.0,0.8,0.8
KhorasanRazavi,3,Zabarkhan,11,1,0,1,59.049,36.088,2,2,0.6,10.0,2,0.7,3,1395-7-20,1396-3-31,3,2,28,7,2240,207,169,569,612,716,643,2,3750,1.7,0.9,1.0
KhorasanRazavi,3,Zabarkhan,11,1,0,1,58.973,36.14,2,1,0.4,14.0,2,2.36,4,1395-7-25,1396-4-9,3,1,72,8,6480,207,169,569,612,736,650,1,6000,0.9,0.7,0.7
KhorasanRazavi,3,Neishabur,10,1,0,1,58.464,36.743,2,2,1.4,34.2,3,0.81,3,1395-7-27,1396-4-25,3,2,18,13,2520,207,169,569,612,732,648,4,3000,1.2,0.7,0.7
KhorasanRazavi,3,Neishabur,10,1,0,1,58.473,36.744,2,1,0.4,15.0,3,2.7,3,1395-7-30,1396-4-10,3,1,55,7,4400,207,169,569,612,728,644,1,3670,0.8,0.6,0.6
KhorasanRazavi,3,Neishabur,10,1,0,2,58.474,36.743,2,1,2.1,65.0,3,1.49,3,1395-7-23,1396-4-24,3,1,44,8,4180,207,169,569,612,753,664,6,4500,1.1,0.7,0.8
KhorasanRazavi,3,Neishabur,10,1,0,2,58.452,36.749,2,1,1.0,25.0,3,1.3,3,1395-7-20,1396-4-15,3,1,102,6,6120,207,169,569,612,744,657,3,5000,0.8,0.6,0.6
KhorasanRazavi,3,TorbatJam,12,1,0,1,60.580594,35.336502,2,2,1.9,70.0,2,2.835,3,"""95/08/15",96-03-29,3,3,56,10,5600,131,60,476,559,,583,5,5900,1.1,0.9,1.0
KhorasanRazavi,3,TorbatJam,12,1,0,1,60.85116216,35.27712467,2,2,3.0,40.0,1,4.455,3,"""95/08/10",96-03-29,3,3,70,10,7000,131,60,476,559,,583,9,5600,0.8,0.7,0.7
KhorasanRazavi,3,TorbatJam,12,1,0,2,60.70974125,35.18666286,2,2,1.9,4.0,2,2.895,4,"""95/08/20",96-03-19,3,3,58,10,5760,131,60,476,559,,583,6,5800,1.0,0.8,0.9
